coin,fundingRate,premium,time
BTC,0.0000097789,-0.0004217688,1738105200209
BTC,-0.0000166555,-0.0006332443,1738108800065
BTC,0.0000125,-0.0003799064,1738112400006
BTC,0.0000125,-0.0003503368,1738116000056
BTC,0.0000125,-0.0001751334,1738119600004
BTC,0.0000125,-0.0003735755,1738123200012
BTC,0.0000125,-0.0003620112,1738126800032
BTC,0.0000125,-0.0001864386,1738130400173
BTC,0.0000125,0.0000643371,1738134000098
BTC,0.0000125,0.0000494357,1738137600194
BTC,0.0000125,0.0000028551,1738141200170
BTC,0.0000125,-0.0002901313,1738144800059
BTC,0.0000125,-0.0002337518,1738148400023
BTC,0.0000125,-0.0002480479,1738152000054
BTC,0.0000125,-0.0003133236,1738155600034
BTC,0.0000095703,-0.0004234375,1738159200113
BTC,0.0000066726,-0.0004466191,1738162800052
BTC,0.0000036561,-0.0004707512,1738166400047
BTC,-0.0000048114,-0.0005384914,1738170000041
BTC,0.0000125,-0.0002617049,1738173600041
BTC,0.0000084437,-0.0004324501,1738177200009
BTC,0.0000072181,-0.0004422554,1738180800019
BTC,0.0000015989,-0.0004872087,1738184400052
BTC,0.0000010295,-0.0004917642,1738188000014
BTC,0.0000017166,-0.0004862672,1738191600001
BTC,0.0000125,-0.0003016915,1738195200017
BTC,0.0000125,-0.0003956323,1738198800001
BTC,0.0000125,-0.0003098012,1738202400144
BTC,0.0000125,-0.0002542886,1738206000065
BTC,0.0000125,-0.0001769785,1738209600087
BTC,0.0000125,-0.0003048796,1738213200110
BTC,0.0000125,-0.0002754532,1738216800062
BTC,0.0000125,-0.0003486548,1738220400031
BTC,0.0000125,-0.0002214114,1738224000040
BTC,0.0000125,-0.0002649622,1738227600060
BTC,0.0000125,-0.0002821609,1738231200051
BTC,0.0000125,-0.0003766556,1738234800057
BTC,0.0000125,-0.0003894146,1738238400053
BTC,0.0000103589,-0.0004171289,1738242000012
BTC,0.0000053166,-0.0004574673,1738245600000
BTC,0.0000125,-0.0002152123,1738249200128
BTC,0.0000125,-0.0001280204,1738252800140
BTC,0.0000125,-0.0001936982,1738256400074
BTC,0.0000125,-0.0001877669,1738260000242
BTC,0.0000125,-0.000338222,1738263600001
BTC,0.0000123934,-0.0004008526,1738267200164
BTC,0.0000125,-0.0003284037,1738270800058
BTC,0.0000125,-0.0002674899,1738274400033
BTC,0.0000125,-0.0003472105,1738278000060
BTC,0.0000125,-0.0001875593,1738281600035
BTC,0.0000125,-0.0002968095,1738285200024
BTC,0.0000125,-0.0003763503,1738288800006
BTC,0.0000125,-0.0003828565,1738292400040
BTC,0.0000096792,-0.0004225667,1738296000029
BTC,0.0000125,-0.0002212662,1738299600015
BTC,0.0000125,0.0000378149,1738303200064
BTC,0.0000125,0.0001952237,1738306800005
BTC,0.0000125,0.0001368937,1738310400005
BTC,0.0000125,0.0000687015,1738314000081
BTC,0.0000125,0.000023606,1738317600000
BTC,0.0000125,-0.0000944588,1738321200004
BTC,0.0000125,-0.0000181483,1738324800042
BTC,0.0000125,0.0000345177,1738328400085
BTC,0.0000125,0.000117405,1738332000033
BTC,0.0000125,0.0000802533,1738335600053
BTC,0.0000125,0.0002057774,1738339200096
BTC,0.0000125,0.0003188622,1738342800118
BTC,0.0000125,0.0003637469,1738346400195
BTC,0.0000125,0.000327389,1738350000012
BTC,0.000037331,0.0007986481,1738353600009
BTC,0.000064654,0.0010172319,1738357200073
BTC,0.0000446042,0.000856834,1738360800082
BTC,0.0000733064,0.0010864512,1738364400000
BTC,0.0000189096,0.0006512766,1738368000026
BTC,0.0000125,0.0005890616,1738371600064
BTC,0.0000125,0.0005302624,1738375200085
BTC,0.0000125,0.0005626428,1738378800076
BTC,0.0000125,0.0001686021,1738382400013
BTC,0.0000125,0.0001138664,1738386000078
BTC,0.0000125,0.0002723907,1738389600093
BTC,0.0000125,0.0002134475,1738393200166
BTC,0.0000125,0.0001324277,1738396800046
BTC,0.0000125,0.0001654458,1738400400157
BTC,0.0000125,0.0000141869,1738404000009
BTC,0.0000125,-0.0000043901,1738407600043
BTC,0.0000125,0.0001207113,1738411200101
BTC,0.0000125,0.000315327,1738414800010
BTC,0.0000125,0.0000995184,1738418400011
BTC,0.0000125,0.0001491249,1738422000124
BTC,0.0000125,0.0002048768,1738425600196
BTC,0.0000125,0.0002002435,1738429200041
BTC,0.0000125,0.000182678,1738432800083
BTC,0.0000125,0.0003276687,1738436400008
BTC,0.0000125,0.0000483629,1738440000027
BTC,0.0000054723,-0.0004562219,1738443600041
BTC,0.0000125,0.0000366336,1738447200078
BTC,0.0000125,-0.0002127282,1738450800138
BTC,0.0000125,-0.0002828684,1738454400188
BTC,0.0000125,0.000044574,1738458000075
BTC,0.0000125,0.0000545528,1738461600181
BTC,0.0000125,-0.0002054331,1738465200104
BTC,0.0000125,-0.000290649,1738468800006
BTC,0.0000125,-0.0001125248,1738472400025
BTC,0.0000125,-0.0000797993,1738476000030
BTC,0.0000125,0.0001350931,1738479600106
BTC,0.0000125,0.0000350014,1738483200018
BTC,0.0000125,0.0000470353,1738486800062
BTC,0.0000125,0.0000220385,1738490400079
BTC,0.0000125,-0.0000130577,1738494000006
BTC,0.0000125,0.0000004294,1738497600187
BTC,0.0000125,-0.0002114363,1738501200045
BTC,0.0000125,-0.0001562289,1738504800026
BTC,0.0000125,-0.0000334085,1738508400044
BTC,0.0000125,0.0000027422,1738512000012
BTC,0.0000125,0.0000207338,1738515600164
BTC,0.0000125,-0.0000911812,1738519200047
BTC,0.0000125,0.0000323239,1738522800079
BTC,0.0000125,0.0001277151,1738526400244
BTC,0.0000125,0.000117359,1738530000054
BTC,0.0000125,0.0000991939,1738533600157
BTC,0.0000125,0.0001970751,1738537200081
BTC,0.0000227986,0.0006823886,1738540800021
BTC,0.0000127489,0.000601991,1738544400171
BTC,0.0000642261,0.0010138091,1738548000015
BTC,0.0000554485,0.0009435878,1738551600083
BTC,0.0000125,0.0005906308,1738555200169
BTC,0.0000125,0.000533909,1738558800032
BTC,0.0000125,0.0005022766,1738562400038
BTC,0.0000125,0.0004521617,1738566000159
BTC,0.0000125,0.0005933393,1738569600169
BTC,0.0000125,0.0005264353,1738573200090
BTC,0.0000125,0.000586126,1738576800008
BTC,0.0000125,0.0003873708,1738580400055
BTC,0.0000125,0.000291813,1738584000014
BTC,0.0000125,0.0003950559,1738587600091
BTC,0.0000125,0.0002931988,1738591200024
BTC,0.0000125,0.0004752651,1738594800082
BTC,0.0000208875,0.0006671003,1738598400068
BTC,0.0000125,0.000249936,1738602000026
BTC,0.0000125,0.0003287528,1738605600048
BTC,0.0000125,0.0004097107,1738609200109
BTC,0.0000125,0.000278556,1738612800037
BTC,0.0000125,-0.0003055441,1738616400067
BTC,0.0000125,-0.0002688382,1738620000047
BTC,0.0000125,0.000290245,1738623600086
BTC,0.0000125,0.0002499333,1738627200170
BTC,0.0000125,0.0003304943,1738630800104
BTC,0.0000125,0.0002143657,1738634400075
BTC,0.0000125,0.0002108079,1738638000165
BTC,0.0000125,0.0000704894,1738641600085
BTC,0.0000125,0.0003425088,1738645200080
BTC,0.0000125,0.0003255895,1738648800109
BTC,0.0000125,0.0003684023,1738652400060
BTC,0.0000125,0.0003307,1738656000031
BTC,0.0000125,0.000350965,1738659600070
BTC,0.0000125,0.000443994,1738663200033
BTC,0.0000125,0.0004412012,1738666800055
BTC,0.0000125,0.0005371651,1738670400088
BTC,0.0000172977,0.0006383818,1738674000100
BTC,0.0000237382,0.0006899053,1738677600246
BTC,0.0000194493,0.0006555944,1738681200040
BTC,0.0000299428,0.0007395426,1738684800059
BTC,0.0000125,0.000566779,1738688400063
BTC,0.0000143665,0.0006149321,1738692000076
BTC,0.0000237039,0.0006896315,1738695600074
BTC,0.0000138082,0.0006104653,1738699200087
BTC,0.0000125,0.0005518793,1738702800005
BTC,0.0000125,0.0003554295,1738706400113
BTC,0.000012524,0.0006001921,1738710000060
BTC,0.0000125,0.000549299,1738713600003
BTC,0.0000125,0.0004983689,1738717200029
BTC,0.0000125,0.0004103001,1738720800000
BTC,0.0000125,0.0004378533,1738724400035
BTC,0.0000125,0.0004827018,1738728000032
BTC,0.0000125,0.0004976739,1738731600103
BTC,0.0000125,0.0004381437,1738735200097
BTC,0.0000125,0.0005059296,1738738800021
BTC,0.0000125,0.0004830269,1738742400079
BTC,0.0000125,0.0004199004,1738746000067
BTC,0.0000125,0.000433611,1738749600129
BTC,0.0000125,0.0005463837,1738753200107
BTC,0.0000145195,0.0006161559,1738756800048
BTC,0.0000125,0.0005952153,1738760400015
BTC,0.0000182023,0.0006456185,1738764000025
BTC,0.0000174722,0.0006397779,1738767600152
BTC,0.0000141896,0.0006135169,1738771200083
BTC,0.0000125,0.000594427,1738774800122
BTC,0.000012762,0.0006020957,1738778400063
BTC,0.0000125,0.0005412649,1738782000017
BTC,0.0000125,0.0005396348,1738785600089
BTC,0.0000125,0.0005270367,1738789200060
BTC,0.0000125,0.0004353597,1738792800004
BTC,0.0000125,0.00035485,1738796400195
BTC,0.0000125,0.0004477939,1738800000090
BTC,0.0000125,0.0004161318,1738803600072
BTC,0.0000125,0.0003937332,1738807200065
BTC,0.0000125,0.0004246795,1738810800074
BTC,0.0000125,0.0003842987,1738814400004
BTC,0.0000125,0.0002815149,1738818000049
BTC,0.0000125,0.000424233,1738821600052
BTC,0.0000125,0.0004788281,1738825200160
BTC,0.0000125,0.0004770331,1738828800075
BTC,0.0000125,0.0003861558,1738832400045
BTC,0.0000125,0.0003018446,1738836000070
BTC,0.0000125,0.0001851877,1738839600072
BTC,0.0000125,0.0001153173,1738843200057
BTC,0.0000125,0.00016981,1738846800025
BTC,0.0000125,0.0002443399,1738850400048
BTC,0.0000125,0.0000739252,1738854000007
BTC,0.0000125,0.0000775955,1738857600038
BTC,0.0000125,0.0000891367,1738861200010
BTC,0.0000125,0.0002117134,1738864800075
BTC,0.0000125,0.0002827432,1738868400001
BTC,0.0000125,0.0003251421,1738872000074
BTC,0.0000125,0.0003824623,1738875600030
BTC,0.0000125,0.0004920366,1738879200045
BTC,0.0000125,0.0005521988,1738882800038
BTC,0.0000125,0.0004517471,1738886400068
BTC,0.0000125,0.0003376652,1738890000079
BTC,0.0000125,0.0003782817,1738893600030
BTC,0.0000125,0.0003548515,1738897200041
BTC,0.0000125,0.000239567,1738900800030
BTC,0.0000125,0.0002408118,1738904400124
BTC,0.0000125,0.000103393,1738908000151
BTC,0.0000125,0.0000200819,1738911600009
BTC,0.0000125,-0.0000152755,1738915200098
BTC,0.0000125,-0.0001216401,1738918800008
BTC,0.0000125,0.0000408385,1738922400090
BTC,0.0000125,0.0000217194,1738926000129
BTC,0.0000125,0.0001073241,1738929600025
BTC,0.0000125,0.0002119747,1738933200113
BTC,0.0000125,0.0000393139,1738936800035
BTC,0.0000125,-0.000089851,1738940400049
BTC,0.0000125,0.0000671619,1738944000015
BTC,0.0000125,0.0000541867,1738947600106
